"","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.3,33.5,58.4,62.5,68.3,79.2,80.3,51.6,NA,51.3,68.6,37.3,59.7,66.1,38.2,90.6,45.3,31.5,52.9,29,43.9,63.4,72,51.5,103.6,38.4,85,85.2,NA,NA,55.3,46.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.5,47,42.7,85.1,43.9,55.9,90,38.6,57.6,50.1,49.4,36.2,78.2,50.3,44.8,66.6,46.1,74.9,44,43,NA,31,64.1,NA,35,47.9,57.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.4,59.7,NA,47.5,56.6,35.8,35.1,NA,49.5,72.6,69.6,41.1,34,54.8,73.6,64.7,54,40.4,35.6,45,67.8,45,57,58.8,44.9,50.4,32.6,41.6,43.3,59.3,56.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.8,68.3,37.8,33.8,90.7,51.1,76.3,58.3,52.4,79,46,43,55.5,61.2,44.8,36.7,66.4,56.8,48.7,41.2,49.8,42.8,49.7,67.9,52.3,76.1,41.8,68.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.4,63,54.4,79,46.7,64.7,44.5,45.9,69.9,53.6,40.7,52,78.6,50.1,57,78.9,60.8,65,49.8,45.2,58.2,41.8,54.8,59.5,35.4,36.7,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.1,40.1,41.9,48.3,38.6,39.9,NA,42.7,NA,39.4,71.4,43.7,44.9,51.8,25.7,33.3,49.3,38.9,32.7,48.5,33.2,49.1,35.2,34.6,75.1,59.4,49.3,62.7,NA,48.1,59.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.2,52.1,47.2,52.1,32.3,48.3,47.5,48,49.3,NA,53.6,35.6,34.9,47.7,57.3,47.5,45.3,37.8,56.2,54,56.5,53.7,56.8,35.2,64.6,48.9,40.1,45.8,41.2,52.6,NA,NA,51.8,83.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.6,44.2,30.7,35.1,54.4,NA,50,58.7,46.7,64.3,39.6,59.7,67.1,106.7,71.1,41.4,50,45.8,44.7,54.4,41.3,37,79.4,38.3,71.9,39.4,58,27.4,49.7,47.2,54.9,55.2,69.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.9,71.1,33,80.8,75.4,67.1,70.1,53.3,43.4,68.3,36.1,95.6,67.4,80.2,73.7,40.4,47.2,67,48,55.7,42,78,57.8,77.1,40,51.1,58.1,61.6,56.3,NA,38.2,44.2,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.4,43.2,NA,48.3,64.5,59.7,NA,65.3,32,52.6,NA,36.6,57.5,64.5,49.5,76.5,40.6,39.6,55.6,48.4,53.5,56.4,49.6,60.7,52.4,37.4,41.6,33.6,41.8,50.8,48.4,69.5,33.8,81.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.4,41.4,55.4,54.6,49.8,60.5,35.1,37.3,55.6,48.8,NA,46,34.3,32,35.6,34.8,53.9,50.8,35,41.6,40,71,69,75.2,38.4,54.6,44.4,48.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9,42.9,68.8,47,36.8,34.3,47.7,31,63.5,53.2,40.4,40.2,39.3,53,30.8,38.8,102.2,53.2,37.6,50.4,32.1,40.4,53.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.3,37.1,36.6,48.8,53.3,64.8,46.2,42.4,59.4,68.3,46.5,36.6,40.1,NA,30.4,34.6,42.1,29.4,54.2,60.2,43.6,45.6,38.8,49.2,79.6,42.4,28.5,93.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.7,50.3,44.8,102,73.5,50.8,38.4,47.5,60.2,54.6,65.9,53.3,50.6,63.8,52.2,35,50.3,47.6,52.8,108.4,NA,NA,NA,NA,NA,NA,NA,NA,78.1,67.8,51.4,39,61.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.7,51.3,43.7,50.8,49.5,27.7,87.6,71.4,39.9,46.2,53.1,44.4,63,60.8,56.2,54.5,44.6,46.6,75.9,66.2,97.1,48.4,78,70,43.2,34.2,35.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.6,59.2,NA,NA,66.5,35.1,40.1,66.5,62.5,44,89.2,25.7,43.4,38.2,29.2,76.7,48.3,52.7,62.1,44,30.4,54,48.8,42.8,60.8,51.4,NA,71.4,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,78.2,40.1,56.9,36.1,28.4,25.4,38.4,57.3,62.4,50.9,50.1,28.9,30.4,51.2,36.6,42.6,31,51.6,115,24.2,39.9,66.2,36.8,80,54.1,28,44.4,35.8,46.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.4,61.7,55.1,75.2,57.4,77,72.4,29.7,NA,48,52.8,49,NA,76.2,36.2,101.4,30,86.9,53.6,46.2,50.8,48.8,64.2,NA,54,42.8,41.6,50.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.1,49.8,71.1,79.5,49.5,70.1,68.1,80,70.4,48,57.9,42.2,92.2,51,84.7,55.8,59.9,60.6,51.5,67.8,73.7,65.1,64.4,43.8,48.2,63.2,50.6,52.8,74.7,NA,62.4,57.1,74.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA
"74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.1,76.5,NA,NA,41.4,65.3,138.4,44.7,48.5,67.4,47.2,71.4,23,32.6,12.8,74.2,NA,58.2,48.3,63.4,48.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.9,75.2,63,51.3,55.9,34.8,75.4,45.5,55.6,NA,NA,58.3,81.6,103.5,NA,77.4,22.2,42,NA,NA,NA,NA,93.4,90.9,72.3,59.4,59.8,NA,49,NA,69.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.1,72.9,29.5,46.7,47,63,54,91.1,57.9,31,31.2,42.2,55.9,46.4,54.5,85.6,50.6,50.8,40.9,NA,NA,41.8,63.6,NA,35.7,38.6,50.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.2,49.3,65,23.9,36.1,69.3,36.6,46.7,53.3,76.5,38.9,32,37.6,31.7,54.9,48.3,39.8,53,49.8,122.9,22.4,47.7,31.8,91,51.4,48.6,33.5,34.6,40.4,45.7,NA,35.6,NA,35.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.9,67.8,56.9,80.8,57.7,39.9,54.6,25.7,36.3,32.3,43.2,29.9,74,81.7,46.2,32.5,38.9,48.1,38.2,39.4,38.2,42.6,36.8,54.2,46.2,35,48,41.5,NA,NA,NA,NA,NA,NA,NA,NA,58.1,70,53.5,41.5,40.9,29.7,55.6,39.2,40.5,63.3,49.2,54.9,NA,NA
"79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,40.6,52.6,39.1,NA,27.2,24.9,40.9,NA,NA,NA,NA,NA,NA,11.3,NA,47,62.3,31.4,45.8,44.2,79.5,78.3,33.4,NA,49.5,51.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.1,59.7,32,NA,49,36.3,40.1,25.8,60.1,61.2,42.4,81,27.7,45.2,39.7,51.9,51.4,38.4,35.2,52.4,40,41.4,34.3,66.9,74,41.2,18.8,31.6,56.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.9,NA,37.3,27.2,20.1,NA,NA,75.2,74.2,47.2,47.5,66.8,43.4,31,36.4,38.4,48.8,63.4,26.4,34.6,37.2,39.3,43.6,NA,NA,23.2,39,NA,54.4,38.6,39.8,36.5,NA,NA,NA,49.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.2,48.8,73.9,36.8,36.8,28.7,NA,56.9,43.2,41.2,52.4,82.6,35.8,22.7,49.1,47.2,65.8,54.8,93.8,52.8,36.2,33.8,NA,NA,44.4,44,40.2,NA,53.9,66.3,46.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.8,33.8,44.2,37.1,66.8,80.5,59.2,53.1,46.2,41.9,68.8,54.6,49.4,56,36.5,85.8,39.2,52.9,37.6,34.2,63.2,59.6,32.4,49,65,45.6,55,42.9,49.3,62,NA,47,NA,51.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.8,33.8,44.2,37.6,62.7,71.1,50.5,55.4,25.1,54.4,79,53.6,37.6,47.2,33.3,97.8,35.8,58.5,52.4,48.9,67.4,39.6,31.4,60.6,61.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.7,NA,37.8,52.3,26.4,76.2,42.9,41.4,36.8,45.2,50,76.7,42.2,28.2,32.3,49.5,46,43.1,35.5,39.5,42.4,55.2,48.2,32,71.6,45.7,35,50.6,49.4,34.8,36.2,43.1,37.3,39.2,27.3,NA,NA,NA,NA,NA,NA,NA,NA,50.8,50.5,69.6,NA,72.9,54.2,57.8,55.2,51,43.7,31,24.7,56.9,31.7
"86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.7,37.1,53.8,57.4,40.1,31.5,40.4,41.5,46.5,108.7,46.3,40,37.6,50.2,41.4,46.8,50,38.8,46,38.8,58.8,37.9,42,50.5,101.8,27,25.4,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.2,33.3,44.7,37.3,63.5,49.5,30.7,50.5,84.6,29.5,35.1,42.4,NA,36.3,27.9,37.6,32.8,81.5,60.2,53.2,32.9,23,45,73.6,59.4,26.4,34,78.4,45.7,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3,21.1,31.7,58.9,72.9,45.7,39.9,64.5,35.6,40.1,52.3,52.7,39.6,125.2,42.1,47.6,42.3,31.5,26.7,72,54.2,56,78.8,41,27.8,48.4,43.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.1,54.8,71.4,30,73.7,40.6,97.4,33.6,NA,NA,NA,35.1,44.6,32,34.3,30,23.2,NA,NA,NA,43.2,36.6,38,35.6,63.2,35.2,46.4,27.4,NA,29.3,42.3,43.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.6,47.5,66.3,NA,39.1,31.2,55.4,29.5,32.3,47.2,32.8,59.9,30.9,25,23.4,29,43.4,67,39.4,50.4,30,77.9,49.8,24.4,52.2,NA,118,41,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.5,102.9,73.9,50,51.6,48,63.2,30.7,45.7,47.5,41.5,60.5,58.2,45.3,31.6,56.7,60.4,34.6,41.6,24,46.8,29.4,54.8,49.6,45.6,50.5,39.6,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.5,39.4,49.5,33.5,58.9,57.7,53.8,45,32.5,45.2,98,32.8,56.6,85.1,50.9,32,25.2,43.2,95.1,91.2,101.4,37.6,49,40.3,52.2,27.1,40.8,30,NA,45.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.6,37.2,27.8,45,56.3,46,51.4,38.8,29.6,42.8,52.8,50.2,36.7,35.5,25.3,45.8,32.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.4,32.8,31,31.4,52.2,42.7,31,NA,62.9,48.8,43.2,45.3,45.1,48.5,29.1,39.8,49,65.6,75.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
