"","latitude","longitude"
"1",47.9,-65.8333333333333
"2",46.4333333333333,-64.7666666666667
"3",47.0166666666667,-65.4666666666667
"4",46.1166666666667,-64.6833333333333
"5",46.05,-66.7166666666667
"6",45.2833333333333,-66.0833333333333
"7",45.3166666666667,-65.8833333333333
"8",49.2666666666667,-54.8833333333333
"9",49.2166666666667,-57.4
"10",48.95,-54.5666666666667
"11",47.5666666666667,-59.15
"12",48.5666666666667,-58.5666666666667
"13",44.9833333333333,-64.9166666666667
"14",44.65,-63.5666666666667
"15",44.8833333333333,-63.5166666666667
"16",45.0666666666667,-64.4833333333333
"17",44.6333333333333,-63.5166666666667
"18",46.1666666666667,-60.0333333333333
"19",45.3666666666667,-63.2666666666667
"20",43.8333333333333,-66.0833333333333
"21",46.4333333333333,-63.8333333333333
"22",46.3333333333333,-63.1666666666667
"23",46.8666666666667,-71.2666666666667
"24",46.6666666666667,-71.9166666666667
"25",46.8666666666667,-71.65
"26",46.0166666666667,-73.4333333333333
"27",45.8166666666667,-73.4333333333333
"28",45.5,-74.0666666666667
"29",46.8,-71.2166666666667
"30",46.7166666666667,-72.0833333333333
"31",46.7333333333333,-71.5
"32",46.2,-73.6
"33",45.5666666666667,-74.05
"34",46.3166666666667,-74.2
"35",46.5666666666667,-72.7333333333333
"36",46.0166666666667,-71.95
"37",45.1833333333333,-72.5666666666667
"38",45.2833333333333,-71.2
"39",45.8833333333333,-72.4833333333333
"40",46.4833333333333,-72.05
"41",45.1333333333333,-72.2333333333333
"42",45.3833333333333,-72.7166666666667
"43",45.6,-70.8666666666667
"44",46.8166666666667,-71.1
"45",45.3666666666667,-71.8166666666667
"46",45.6333333333333,-71.3666666666667
"47",45.3333333333333,-71.4
"48",45.5,-73.6166666666667
"49",45.5,-73.5833333333333
"50",45.1166666666667,-74.05
"51",45.4333333333333,-73.9333333333333
"52",45.2,-71.6833333333333
"53",46.0666666666667,-70.9666666666667
"54",46.1,-71.5833333333333
"55",46.15,-70.7
"56",45.8833333333333,-72.7666666666667
"57",45.5166666666667,-73.4166666666667
"58",46.25,-71.2166666666667
"59",45.7666666666667,-70.95
"60",45.9333333333333,-70.4833333333333
"61",45.3666666666667,-71.5333333333333
"62",45.4333333333333,-71.6833333333333
"63",46.1,-71.35
"64",46.3833333333333,-70.9333333333333
"65",45.4,-71.3
"66",45.3833333333333,-70.8666666666667
"67",46.3,-76.0166666666667
"68",45.6666666666667,-74.0333333333333
"69",46.05,-74.2833333333333
"70",45.8,-74.05
"71",45.6166666666667,-76.4666666666667
"72",48.7333333333333,-69.0833333333333
"73",47.3166666666667,-71.15
"74",47.75,-70.1166666666667
"75",48.3833333333333,-64.5333333333333
"76",48.2833333333333,-67.5666666666667
"77",47.35,-70.0333333333333
"78",48.6166666666667,-68.2166666666667
"79",48.95,-65.5166666666667
"80",48.1,-66.3
"81",48.45,-68.5166666666667
"82",47.45,-69.7833333333333
"83",46.4166666666667,-70.4666666666667
"84",46.55,-70.8166666666667
"85",48.3333333333333,-71
"86",48.4166666666667,-71.75
"87",48.85,-72.5333333333333
"88",48.6333333333333,-71.7166666666667
"89",47.4,-72.7833333333333
"90",46.6833333333333,-73.9166666666667
"91",46.7166666666667,-79.1
"92",48.5666666666667,-78.1333333333333
"93",48.7833333333333,-79.2166666666667
"94",48.2,-78.1333333333333
"95",48.0666666666667,-77.7833333333333
